material_id,crop_code,material_category,material_name,quantity_basis,quantity_per_basis,material_unit,unit_price_krw,loss_rate,source_id,data_status,reference_date,remarks
MAT_RUCOLA_PLANT,RUCOLA,PLANTING_MATERIAL,rucola seed,PER_M2_CYCLE,1,m2-cycle,180,0,MAT_RUCOLA_01,MVP_ESTIMATE,2026-07-04,MVP leafy green planting material
MAT_RUCOLA_NUTRIENT,RUCOLA,NUTRIENT,nutrient solution,PER_M2_CYCLE,1,m2-cycle,70,0,MAT_RUCOLA_01,MVP_ESTIMATE,2026-07-04,MVP nutrient
MAT_RUCOLA_CONSUMABLE,RUCOLA,CONSUMABLE,small consumables,PER_M2_CYCLE,1,m2-cycle,60,0,MAT_RUCOLA_01,MVP_ESTIMATE,2026-07-04,MVP consumables
MAT_DILL_PLANT,DILL,PLANTING_MATERIAL,dill seed,PER_M2_CYCLE,1,m2-cycle,220,0,MAT_DILL_01,MVP_ESTIMATE,2026-07-04,MVP herb planting material
MAT_DILL_NUTRIENT,DILL,NUTRIENT,nutrient solution,PER_M2_CYCLE,1,m2-cycle,80,0,MAT_DILL_01,MVP_ESTIMATE,2026-07-04,MVP nutrient
MAT_DILL_CONSUMABLE,DILL,CONSUMABLE,small consumables,PER_M2_CYCLE,1,m2-cycle,80,0,MAT_DILL_01,MVP_ESTIMATE,2026-07-04,MVP consumables
MAT_EDIBLE_FLOWERS_PLANT,EDIBLE_FLOWERS,PLANTING_MATERIAL,edible flower seedling,PER_M2_CYCLE,1,m2-cycle,900,0,MAT_EDIBLE_FLOWERS_01,MVP_ESTIMATE,2026-07-04,MVP edible flower planting material
MAT_EDIBLE_FLOWERS_NUTRIENT,EDIBLE_FLOWERS,NUTRIENT,nutrient solution,PER_M2_CYCLE,1,m2-cycle,120,0,MAT_EDIBLE_FLOWERS_01,MVP_ESTIMATE,2026-07-04,MVP nutrient
MAT_EDIBLE_FLOWERS_CONSUMABLE,EDIBLE_FLOWERS,CONSUMABLE,small consumables,PER_M2_CYCLE,1,m2-cycle,200,0,MAT_EDIBLE_FLOWERS_01,MVP_ESTIMATE,2026-07-04,MVP consumables
MAT_CORIANDER_PLANT,CORIANDER,PLANTING_MATERIAL,coriander seed,PER_M2_CYCLE,1,m2-cycle,200,0,MAT_CORIANDER_01,MVP_ESTIMATE,2026-07-04,MVP herb planting material
MAT_CORIANDER_NUTRIENT,CORIANDER,NUTRIENT,nutrient solution,PER_M2_CYCLE,1,m2-cycle,80,0,MAT_CORIANDER_01,MVP_ESTIMATE,2026-07-04,MVP nutrient
MAT_CORIANDER_CONSUMABLE,CORIANDER,CONSUMABLE,small consumables,PER_M2_CYCLE,1,m2-cycle,80,0,MAT_CORIANDER_01,MVP_ESTIMATE,2026-07-04,MVP consumables
MAT_THYME_PLANT,THYME,PLANTING_MATERIAL,thyme cutting or seedling,PER_M2_CYCLE,1,m2-cycle,350,0,MAT_THYME_01,MVP_ESTIMATE,2026-07-04,MVP woody herb planting material
MAT_THYME_NUTRIENT,THYME,NUTRIENT,nutrient solution,PER_M2_CYCLE,1,m2-cycle,70,0,MAT_THYME_01,MVP_ESTIMATE,2026-07-04,MVP nutrient
MAT_THYME_CONSUMABLE,THYME,CONSUMABLE,small consumables,PER_M2_CYCLE,1,m2-cycle,100,0,MAT_THYME_01,MVP_ESTIMATE,2026-07-04,MVP consumables
MAT_LEMON_BALM_PLANT,LEMON_BALM,PLANTING_MATERIAL,lemon balm seedling,PER_M2_CYCLE,1,m2-cycle,280,0,MAT_LEMON_BALM_01,MVP_ESTIMATE,2026-07-04,MVP herb planting material
MAT_LEMON_BALM_NUTRIENT,LEMON_BALM,NUTRIENT,nutrient solution,PER_M2_CYCLE,1,m2-cycle,80,0,MAT_LEMON_BALM_01,MVP_ESTIMATE,2026-07-04,MVP nutrient
MAT_LEMON_BALM_CONSUMABLE,LEMON_BALM,CONSUMABLE,small consumables,PER_M2_CYCLE,1,m2-cycle,80,0,MAT_LEMON_BALM_01,MVP_ESTIMATE,2026-07-04,MVP consumables
